,bias,vr_receita,ds_situacao_totalizacao
1,1.0,50000.0,0
9,1.0,107204.42,1
12,1.0,349571.14,1
18,1.0,171392.0,1
19,1.0,10000.0,0
22,1.0,7513.44,0
28,1.0,12000.0,0
38,1.0,506121.05,1
48,1.0,20000.0,0
51,1.0,4910.0,0
53,1.0,12603.44,0
54,1.0,10000.0,0
55,1.0,65000.0,0
56,1.0,63208.6,0
57,1.0,50000.0,0
62,1.0,6000.0,0
63,1.0,7091.72,0
67,1.0,216892.0,1
76,1.0,20000.0,0
81,1.0,440420.95,1
82,1.0,33636.1,0
94,1.0,13000.0,0
95,1.0,20802.67,0
104,1.0,5000.0,0
105,1.0,2000.0,0
109,1.0,35055.32,0
117,1.0,10000.0,0
118,1.0,5000.0,0
127,1.0,35000.0,0
128,1.0,305571.14,1
129,1.0,316545.34,0
145,1.0,10000.0,0
152,1.0,10000.0,0
153,1.0,10000.0,0
156,1.0,305921.05,1
161,1.0,305571.14,1
162,1.0,150000.0,1
164,1.0,36273.6,0
171,1.0,449850.0,1
174,1.0,871878.77,1
175,1.0,6790.16,0
176,1.0,21949.22,0
178,1.0,20000.0,0
179,1.0,10000.0,0
181,1.0,309569.0,1
185,1.0,213471.5,1
187,1.0,10000.0,0
188,1.0,327204.42,1
195,1.0,30000.0,0
199,1.0,14640.0,0
205,1.0,190000.0,0
208,1.0,8000.0,0
214,1.0,20000.0,0
218,1.0,10250.0,0
222,1.0,210676.07,1
232,1.0,20000.0,0
234,1.0,326300.0,1
238,1.0,251392.0,1
241,1.0,293500.0,1
245,1.0,50000.0,0
248,1.0,15000.0,0
252,1.0,235000.0,1
254,1.0,100000.0,1
265,1.0,7216.88,0
267,1.0,23000.0,0
277,1.0,1500.0,0
281,1.0,10225.0,0
285,1.0,10000.0,0
296,1.0,15000.0,0
297,1.0,304392.0,1
301,1.0,14000.0,0
302,1.0,10951.72,0
303,1.0,113050.0,1
305,1.0,5421.72,0
332,1.0,10000.0,0
335,1.0,234192.0,1
344,1.0,6000.0,0
350,1.0,10000.0,0
351,1.0,102040.0,1
352,1.0,951.72,0
353,1.0,10000.0,0
361,1.0,320000.0,0
363,1.0,687000.0,1
370,1.0,445899.0,1
371,1.0,10000.0,0
374,1.0,6806.72,0
377,1.0,6153.44,0
378,1.0,129392.0,1
381,1.0,20000.0,0
387,1.0,10000.0,0
389,1.0,13136.88,0
393,1.0,878294.7,1
395,1.0,24000.0,0
397,1.0,459882.13,1
400,1.0,15567.04,0
411,1.0,200000.0,1
415,1.0,204392.0,1
420,1.0,6806.72,0
431,1.0,40000.0,0
433,1.0,15000.0,0
437,1.0,10000.0,0
441,1.0,14418.44,0
442,1.0,13790.16,0
447,1.0,15000.0,0
456,1.0,800000.0,0
457,1.0,17638.6,0
460,1.0,10000.0,0
463,1.0,330000.0,1
466,1.0,10000.0,0
469,1.0,12091.72,0
472,1.0,35000.0,0
480,1.0,1500.0,0
485,1.0,170000.0,0
487,1.0,10000.0,0
488,1.0,75000.0,1
492,1.0,612421.79,1
495,1.0,50000.0,0
497,1.0,14640.0,0
501,1.0,10000.0,0
504,1.0,259392.0,1
506,1.0,12000.0,0
508,1.0,10000.0,0
520,1.0,1190588.21,1
521,1.0,58239.0,0
524,1.0,8871.44,0
526,1.0,504802.48,1
529,1.0,240000.0,1
547,1.0,600000.0,1
555,1.0,30000.0,0
556,1.0,8871.44,0
558,1.0,5951.72,0
559,1.0,12222.66,0
560,1.0,6000.0,0
565,1.0,145000.0,0
569,1.0,10000.0,0
575,1.0,306912.5,1
582,1.0,30000.0,0
589,1.0,10000.0,0
595,1.0,10000.0,0
596,1.0,5951.72,0
603,1.0,405000.0,1
608,1.0,30000.0,0
609,1.0,81973.19,1
611,1.0,332780.3,1
614,1.0,70000.0,0
619,1.0,10000.0,0
620,1.0,6000.0,0
623,1.0,543625.38,1
627,1.0,10000.0,0
632,1.0,14640.0,0
638,1.0,10310.0,0
641,1.0,50000.0,0
643,1.0,10000.0,0
644,1.0,31795.16,0
646,1.0,505300.19,1
648,1.0,11723.44,0
649,1.0,778454.02,1
654,1.0,8896.0,0
659,1.0,10421.72,0
660,1.0,483557.0,1
661,1.0,368057.0,1
662,1.0,10000.0,0
664,1.0,10000.0,0
665,1.0,10000.0,0
667,1.0,15000.0,0
669,1.0,10000.0,0
674,1.0,430000.0,1
676,1.0,30000.0,0
679,1.0,30000.0,0
690,1.0,345000.0,1
702,1.0,10000.0,0
705,1.0,580000.0,1
708,1.0,12000.0,0
709,1.0,12000.0,0
712,1.0,20000.0,0
715,1.0,50000.0,0
