aa_eleicao,sq_eleicao_divulga,sg_uf,sg_ue,tp_prestador,cd_esfera_partidaria,ds_esfera_partidaria,nr_partido,sg_partido,sq_candidato,ds_cargo,nm_candidato,ds_situacao_candidatura,ds_situacao_totalizacao,vr_receita,vr_receita_rc_fundo_part,vr_receita_rc_fundo_camp,vr_receita_rc_outros,vr_receita_trf_fundo_part,vr_receita_trf_fundo_camp,vr_receita_trf_outros,dt_carga
2022,2040602022,RS,RS,CA,NA,Não se aplica,45,PSDB,210001620209,Deputado Estadual,ABNER DOS SANTOS DILLMANN,Apto,Suplente,218053.0,0.0,0.0,0.0,0.0,218053.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,51,PATRIOTA,210001611303,Deputado Estadual,ADAIRTO DA ROSA,Apto,Não eleito,50000.0,0.0,0.0,0.0,0.0,50000.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,13,PT,210001610592,Deputado Estadual,ADALBERTO DE OLIVEIRA NORONHA,Apto,Suplente,63558.68,0.0,0.0,0.0,0.0,63558.68,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,44,UNIÃO,210001601947,Deputado Estadual,ADAMIR VIVAN,Apto,Suplente,100000.0,0.0,0.0,0.0,24000.0,76000.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,14,PTB,210001649789,Deputado Estadual,ADAO CLEITON LEAL DA SILVA,Apto,Suplente,9571.0,0.0,0.0,0.0,0.0,9571.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,45,PSDB,210001620210,Deputado Estadual,ADAVILSON DE CASTILHOS MAGAGNIN,Apto,Suplente,60000.0,0.0,0.0,0.0,0.0,60000.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,10,REPUBLICANOS,210001601624,Deputado Estadual,ADELMO ANTÔNIO DE SOUZA,Apto,Suplente,15000.0,0.0,0.0,0.0,0.0,15000.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,14,PTB,210001649790,Deputado Estadual,ADEMAR SARZI SARTORI,Apto,Suplente,6428.0,0.0,0.0,0.0,0.0,6428.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,45,PSDB,210001620211,Deputado Estadual,ADMAR EUGENIO POZZOBOM,Apto,Suplente,70000.0,0.0,0.0,0.0,0.0,70000.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,11,PP,210001647147,Deputado Estadual,ADOLFO BRITO,Apto,Eleito por média,107204.42,0.0,0.0,0.0,0.0,107204.42,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,15,MDB,210001647970,Deputado Estadual,ADRIANA BARROS PALLADINO,Apto,Suplente,100000.0,0.0,0.0,0.0,0.0,100000.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,14,PTB,210001649791,Deputado Estadual,ADRIANA SOARES FRANCO,Apto,Suplente,85125.0,0.0,0.0,0.0,2500.0,82625.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,22,PL,210001648959,Deputado Estadual,ADRIANA VIEIRA LARA,Apto,Eleito por QP,349571.14,0.0,0.0,0.0,45281.58,304289.56,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,45,PSDB,210001620193,Deputado Estadual,ADRIANE WINKEL DA SILVA,Apto,Suplente,530588.21,0.0,0.0,0.0,0.0,530588.21,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,14,PTB,210001649788,Deputado Estadual,ADRIANO BRESSAN,Apto,Suplente,25200.0,0.0,0.0,0.0,0.0,25200.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,22,PL,210001648960,Deputado Estadual,ADRIANO MARQUES DORNELLES,Apto,Suplente,15571.14,0.0,0.0,0.0,11281.58,4289.56,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,55,PSD,210001696170,Deputado Estadual,ADRIANO NEVES PEREIRA,Apto,Suplente,56088.9,0.0,0.0,0.0,0.0,56088.9,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,11,PP,210001647148,Deputado Estadual,ADROALDO DA SILVA COUTO,Apto,Suplente,30000.0,0.0,0.0,0.0,0.0,30000.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,13,PT,210001610593,Deputado Estadual,ADÃO PRETTO FILHO,Apto,Eleito por QP,171392.0,0.0,0.0,0.0,0.0,171392.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,20,PSC,210001605727,Deputado Estadual,AILTON SOARES MORAES,Apto,Não eleito,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,12,PDT,210001621312,Deputado Estadual,AIRTON LUIZ ARTUS,Apto,Suplente,183500.0,0.0,0.0,0.0,0.0,183500.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,13,PT,210001610595,Deputado Estadual,ALBERTO JOÃO HECK,Apto,Suplente,56166.68,0.0,0.0,0.0,0.0,56166.68,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,77,SOLIDARIEDADE,210001614131,Deputado Estadual,ALCERI AMARAL DESSBESELL,Apto,Não eleito,7513.44,0.0,0.0,0.0,0.0,7513.44,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,19,PODE,210001596171,Deputado Estadual,ALESSANDRA PINHEIRO NOGUEIRA INDA,Apto,Suplente,34764.95,0.0,0.0,0.0,470.0,34294.95,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,40,PSB,210001602877,Deputado Estadual,ALESSANDRO CAMILO DA SILVA,Apto,Suplente,136750.0,0.0,0.0,0.0,0.0,136750.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,40,PSB,210001602893,Deputado Estadual,ALESSANDRO DAL ZOTTO,Apto,Suplente,32000.0,0.0,0.0,0.0,0.0,32000.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,40,PSB,210001602903,Deputado Estadual,ALESSANDRO DALLA SANTA ANDRADE,Apto,Suplente,20000.0,0.0,0.0,0.0,0.0,20000.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,14,PTB,210001649792,Deputado Estadual,ALEX BUENO KENNE,Apto,Suplente,2500.0,0.0,0.0,0.0,2500.0,0.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,70,AVANTE,210001621483,Deputado Estadual,ALEX LUIS DE SOUZA,Apto,Não eleito,12000.0,0.0,0.0,0.0,0.0,12000.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,13,PT,210001610596,Deputado Estadual,ALEX SANDER ALVES BOSCAINI,Apto,Suplente,13558.66,0.0,0.0,0.0,0.0,13558.66,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,11,PP,210001647153,Deputado Estadual,ALEXANDRE PRESTES BORTOLUZ,Apto,Suplente,7204.42,0.0,0.0,0.0,0.0,7204.42,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,22,PL,210001648934,Deputado Estadual,ALEXANDRE WAGNER DA SILVA BOBADRA,Apto,Suplente,39802.48,0.0,0.0,0.0,11281.58,28520.9,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,50,PSOL,210001598517,Deputado Estadual,ALEXSANDER FRAGA DA SILVA,Apto,Suplente,90606.05,0.0,0.0,0.0,0.0,90606.05,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,55,PSD,210001696172,Deputado Estadual,ALFREDO CASTILLOS DE LOS SANTOS,Apto,Suplente,14440.0,0.0,0.0,0.0,0.0,14440.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,44,UNIÃO,210001601952,Deputado Estadual,ALFREDO CROSSETTI SIMON,Apto,Suplente,10000.0,0.0,0.0,0.0,10000.0,0.0,0.0,2024-04-19 02:05:11
2022,2040602022,RS,RS,CA,NA,Não se aplica,50,PSOL,210001598518,Deputado Estadual,ALICE CARVALHO DA SILVA DOS SANTOS,Apto,Suplente,100810.3,0.0,0.0,0.0,0.0,100810.3,0.0,2024-04-19 02:05:11
